Date,Open,High,Low,Close,Adj Close,Volume
2014-11-01,18.167999,18.929001,18.059999,18.855000,17.319574,2943000
2014-12-01,18.768999,18.912001,17.811001,18.577999,17.065136,4756000
2015-01-01,18.691000,18.945000,17.907000,18.219000,16.788349,4474000
2015-02-01,18.266001,19.641001,17.966000,19.535999,18.001925,7807000
2015-03-01,19.580000,19.785999,18.805000,19.261999,17.749443,5623000
2015-04-01,19.278000,20.097000,19.023001,19.403000,17.920397,2874000
2015-05-01,19.514999,20.083000,19.183001,19.981001,18.454231,2512000
2015-06-01,20.058001,20.299999,19.458000,19.632000,18.131895,4050000
2015-07-01,19.791000,20.563000,19.249001,20.207001,18.701857,4759000
2015-08-01,20.237000,20.336000,14.100000,18.822001,17.420021,8696000
2015-09-01,18.325001,19.537001,17.629999,18.110001,16.761061,3854000
2015-10-01,18.114000,20.000999,17.895000,19.900000,18.465626,4150000
2015-11-01,19.954000,20.400000,19.316999,20.150999,18.698534,5998000
2015-12-01,20.230000,20.382000,19.181999,19.679001,18.260551,4840000
2016-01-01,19.242001,19.377001,16.944000,18.091999,16.792192,8221000
2016-02-01,18.052999,18.198999,16.563000,17.920000,16.632553,5326000
2016-03-01,18.125000,19.271999,18.073000,19.121000,17.747272,3218000
2016-04-01,19.038000,19.525000,18.652000,18.761000,17.458551,3962000
2016-05-01,18.746000,19.525000,18.406000,19.489000,18.136013,3740000
2016-06-01,19.365999,19.614000,17.990999,19.018999,17.698643,4474000
2016-07-01,19.024000,20.347000,18.816999,20.312000,18.955523,4295000
2016-08-01,20.362000,20.784000,20.108999,20.569000,19.195362,3334000
2016-09-01,20.487000,21.000000,20.163000,20.891001,19.495853,4162000
2016-10-01,20.934999,20.997000,20.340000,20.457001,19.148224,6633000
2016-11-01,20.500000,21.386000,19.853001,21.014999,19.670521,7397000
2016-12-01,21.108000,21.684000,20.510000,21.162001,19.808119,5715000
2017-01-01,21.433001,22.386000,21.200001,22.104000,20.759287,7117000
2017-02-01,22.315001,23.191000,22.129999,22.968000,21.570724,8376000
2017-03-01,23.194000,23.372999,22.700001,23.323000,21.904125,6727000
2017-04-01,23.400999,23.903000,22.870001,23.830000,22.414036,6603000
2017-05-01,23.908001,24.591000,23.663000,24.458000,23.004723,7848000
2017-06-01,24.461000,25.025000,23.947001,24.155001,22.719728,7283000
2017-07-01,24.266001,25.399000,23.920000,24.983000,23.559555,5529000
2017-08-01,25.065001,25.330000,24.311001,25.320000,23.877350,7717000
2017-09-01,25.400000,25.525000,24.916000,25.517000,24.063129,4919000
