Date,Open,High,Low,Close,Adj Close,Volume
2014-11-01,50.230000,50.310001,50.110001,50.230000,43.614048,74500
2014-12-01,50.490002,50.490002,49.905998,50.070000,43.531475,113000
2015-01-01,49.972000,50.540001,49.930000,50.509998,43.973801,78700
2015-02-01,50.639999,50.639999,50.099998,50.139999,43.708855,386300
2015-03-01,50.169998,50.470001,49.750000,50.419998,44.000908,2559500
2015-04-01,50.500000,50.860001,50.270000,50.540001,44.146854,2303000
2015-05-01,50.529999,50.730000,50.259998,50.490002,44.208450,304100
2015-06-01,50.480000,50.480000,50.009998,50.310001,44.092754,2606900
2015-07-01,50.070000,50.490002,49.869999,50.169998,43.985840,2502000
2015-08-01,50.220001,50.549999,49.799999,50.110001,44.088909,383800
2015-09-01,50.130001,50.689999,49.910000,50.240002,44.261463,1115000
2015-10-01,50.400002,50.720001,50.150002,50.279999,44.354107,1394800
2015-11-01,50.299999,52.470001,49.941002,50.110001,44.240070,1913500
2015-12-01,50.270000,50.320000,49.590000,49.689999,43.905228,525900
2016-01-01,49.660000,50.220001,48.430000,50.049999,44.282124,3195500
2016-02-01,50.160000,50.492001,50.000000,50.130001,44.380436,1434800
2016-03-01,50.150002,50.630001,49.790001,50.500000,44.757084,5036000
2016-04-01,50.464001,50.810001,50.419998,50.540001,44.792530,4095400
2016-05-01,50.610001,50.789001,50.250000,50.419998,44.686176,3695600
2016-06-01,50.419998,52.055000,50.400002,50.980000,45.271229,308700
2016-07-01,51.040001,52.590000,50.810001,51.110001,45.448132,443300
2016-08-01,51.090000,51.169998,50.880001,50.980000,45.387737,469300
2016-09-01,50.930000,51.080002,50.810001,50.939999,45.406471,284400
2016-10-01,50.950001,50.959999,50.660000,50.810001,45.345757,366800
2016-11-01,50.799999,50.863998,50.000000,50.049999,44.722874,3238900
2016-12-01,50.000000,50.209000,49.660000,49.959000,44.682594,1436300
2017-01-01,49.869999,50.279999,49.849998,50.049999,44.866287,2456000
2017-02-01,50.090000,50.410000,49.930000,50.200001,45.087242,1808100
2017-03-01,50.090000,50.400002,49.950001,50.189999,45.136623,386600
2017-04-01,50.320000,50.480000,50.200001,50.334999,45.331909,359200
2017-05-01,50.400002,50.669998,50.230000,50.473000,45.456177,180700
2017-06-01,50.410000,50.599998,50.410000,50.430000,45.482231,256400
2017-07-01,50.459999,50.667999,50.320000,50.599998,45.701633,224800
2017-08-01,50.570000,50.669998,50.500000,50.619999,45.784798,192800
2017-09-01,50.540001,50.744999,50.419998,50.473000,45.715927,141600
2017-10-01,50.419998,50.650002,50.310001,50.400002,45.714920,222100
2017-11-01,50.369999,50.430000,50.105000,50.139999,45.545948,290400
2017-12-01,50.117001,50.230000,50.029999,50.110001,45.584953,215600
2018-01-01,50.110001,50.118999,49.720001,49.810001,45.379131,340300
2018-02-01,49.820000,49.900002,49.509998,49.560001,45.219334,1815900
2018-03-01,49.630001,49.669998,49.340000,49.529999,45.266663,223900
2018-04-01,49.450001,49.610001,49.261002,49.368999,45.196201,1870900
2018-05-01,49.360001,49.610001,49.209999,49.502998,45.422859,1986300
2018-06-01,49.500000,49.500000,49.110001,49.240002,45.255642,1821600
2018-07-01,49.430000,49.490002,49.200001,49.349998,45.495869,1987600
2018-08-01,49.349998,49.700001,49.299999,49.428001,45.625843,621400
2018-09-01,49.459999,49.506001,49.169998,49.290001,45.598709,314500
2018-10-01,49.299999,49.389999,49.049999,49.110001,45.532940,542700
2018-11-01,49.270000,50.000000,49.014000,49.029999,45.563152,1820900
2018-12-01,48.959999,50.990002,48.959999,49.389000,46.049301,566400
2019-01-01,49.360001,49.674000,49.180000,49.665001,46.393410,396600
2019-02-01,49.660000,49.819000,49.529999,49.650002,46.484573,280100
2019-03-01,49.599998,50.299999,49.599998,50.150002,47.057652,295000
2019-04-01,50.139999,50.180000,49.639999,50.134998,47.147644,520100
2019-05-01,50.189999,50.380001,50.029999,50.365002,47.476612,345700
2019-06-01,50.500000,50.810001,50.428001,50.709000,47.905617,336200
2019-07-01,50.680000,50.849998,50.605000,50.669998,47.977428,341000
2019-08-01,50.720001,51.200001,50.691002,51.110001,48.501118,357700
2019-09-01,51.130001,51.230000,50.730000,50.935001,48.442928,300000
2019-10-01,50.880001,51.220001,50.860001,51.020000,48.636280,352100
2019-11-01,50.990002,51.130001,50.790001,50.924999,48.642975,2292300
2019-12-01,50.889999,51.090000,50.880001,50.900002,48.698254,2006200
2020-01-01,50.869999,51.380001,50.869999,51.365002,49.288055,555000
2020-02-01,51.369999,51.724998,51.200001,51.714001,49.695629,629400
2020-03-01,51.820000,52.310001,45.810001,49.820000,47.956356,1057700
2020-04-01,49.820000,51.279999,49.009998,51.187000,49.272228,688900
